Role,Industry,Skills,Specialisation,Job Function
"Air Hostess/ Flight Steward/ Cabin Crew, Ground Staff/ Ground Attendant, Management Trainee/ Trainee, Fresher","Hotel/Travel/Tourism/Airlines/Hospitality,  Marine/Aviation/Military/Mining/Shipping","Assistant Supervisor , Computer Operator , Data Entry , office assistant , back office assistant , Store Incharge , Helper , Luggage Counter , Trolley Boy , Security Guard , Driver","Data entry,Front Office,Ground Staff,Ticketing","Front Office Staff/Secretarial/Computer Operator,Ticketing/Reservation/Travel Agent/Airlines"
Administration Clerk,Consulting Services,Spend some time in job and get higher income.,Administration,Administration
Administration Clerk,Consulting Services,Work from Home Opportunity - Customer Service Associate job,Administration,Administration
Administration Clerk,Consulting Services,Fixed Salary With Incentives Part Time Work from Home job,Administration,Administration
Administration Clerk,Consulting Services,Need Part Time Work From Home Job No Target,Administration,Administration
Administration Clerk,Consulting Services,Excellent Opportunity @ Work From Home job,Administration,Administration
"Project Leader/ Project Manager, Software Developer/ Programmer",IT-Software,"Html , css , java , jQuery , Javascript , AngularJS , Java J2EE Struts , Advanced Java J2EE , php , c#","Application Programming,Client Server,Graphic Designing/Animation/Web Designing,Software Engineer",IT Software : Software Products & Services
"Accountant/ Accounts Executive, Accounting/ Auditing Clerk, Accounts Assistant/ Book Keeper, Accounts Manager",Accounting-Tax/Consulting,"Tally , Tds , Accounting , Accountant , assistant accountant , senior accountant , Cash , Erp , Finance , Taxation , Audit","Audit & Risk,Bookkeeping,Chartered Accountant/CPA,Cost Accounting/ ICWA",Accounting/Tax/Company Secretary/Audit
"Project Leader/ Project Manager, Software Developer/ Programmer",IT-Software,"Java , c ++ , c# , python , ruby , php , Data Structures SQL , OOPS Data Structures , Core Java , algorithm , AWS , Azure , Google Cloud","Application Programming,Software Engineer",IT Software : Software Products & Services
"Web Designer, Application Designer, GUI/ Web Developer, Web Site Manager/ Web Master",IT-Software,"Web Design , graphic designer , ui designer , asp.net , html , css , HTML Java Script , Ruby on Rails ,  Node.js , my sql , SQL Server , Web Graphic Designer , Adobe Flash , Photoshop","Application Programming,Graphic Designing/Animation/Web Designing",IT Software : Software Products & Services
Software Developer/ Programmer,IT-Software,"Android Development , Android Sdk , Android , Android Studio , Java , Advanced Java J2EE , android ui , Android testing","Mobile,Software Engineer",IT Software : Software Products & Services
"Credit Manager/ Head, Credit Analyst/ Officer, Branch Manager/ Head, Regional Manager/ Head",Banking,"credit manager , Credit Analyst , Banking Process , Banking Operations , Finance , Loan Processing , Credit","Credit Control & Collections,Funds Management,Loan/Mortgage,Bank Assurance","Finance,Banks/Insurance/Financial Services"
"Draftsman/ Draughtsman - Civil/ Structural, Site/ Field Engineer - Civil/ Structural",Construction/Cement/Metal/Steel/Iron,"Civil Site Engineer , Civil Engineer , civil supervisor , Civil Construction , Autocad , Civil Engineering , site supervisor , site consultant , supervisor , development engineer","Civil,Urban Development",Engg. project Mgmt./site Engg./Civil Engg.
"Architect, Industrial Architect, Industrial Designer, Interior Designer",Architecture/Interior Design,"Auto Cad , Architect , technical architect , associate technical architect , Interior Design , Industrial Architecture , Architectural Design , Architecture","Architecture,Interior Designer,Marine Engineering,Other",Architects/Interior Design/Naval Arch
